排名	词语	全局频次	共现种子种类	共现总权重	得分	主要共现种子
432	影响的	3	6	51.09	23.7181	房颤(12.6), 方面(7.9), 产生(7.9), 不良(7.9), 药物(7.7)
433	响的	3	6	51.09	23.7181	房颤(12.6), 方面(7.9), 产生(7.9), 不良(7.9), 药物(7.7)
434	性应	4	6	50.99	23.7061	给予(10.8), 说明(9.0), 糖皮质激素(8.8), 全身(8.6), 针对(7.8)
435	本的	3	6	50.88	23.6935	规范(9.6), 提供(9.5), 工作(8.4), 基础上(8.3), 全球(8.1)
436	有慢性	5	6	50.68	23.6704	咳嗽(10.5), 占预计值(9.7), 暴露史(8.9), 支气管(7.9), 呼吸(6.9)
437	疗基	4	6	50.49	23.6487	给予(10.8), 家庭(10.2), 诊断(8.2), 卫生(8.0), 常规(7.3)
438	阻肺常	5	6	50.49	23.648	合并(14.3), 其他(8.5), 症状(7.3), 急性加重(7.1), 治疗(6.7)
439	肺常	5	6	50.49	23.648	合并(14.3), 其他(8.5), 症状(7.3), 急性加重(7.1), 治疗(6.7)
440	重为	3	6	50.37	23.6338	事件(10.4), 控制(9.1), 咳痰(8.9), 目标(7.7), 呼吸困难(7.6)
441	可提	3	6	50.34	23.6311	仪器(10.8), 教育(10.3), 自我管理(8.9), 吸入装置(6.9), 患者(6.8)
442	的反	4	6	50.12	23.6053	治疗(13.3), 人群(8.9), 产生(7.9), 患者(6.8), 增加(6.6)
443	的反应	4	6	50.12	23.6053	治疗(13.3), 人群(8.9), 产生(7.9), 患者(6.8), 增加(6.6)
444	和有	4	6	50.09	23.6013	作用(11.7), 循证医学证据(9.5), 人员(8.3), 合并症(7.0), 患者(6.8)
445	加重需	3	6	50.08	23.6007	胃肠(12.0), 给予(10.8), 心力衰竭(8.3), 胸部(8.1), 慢阻肺(6.0)
446	药物吸	3	6	50.06	23.598	禁忌证(9.9), 缓解(9.4), 激动剂(8.5), 评价(8.1), 雾化(7.7)
447	物吸	3	6	50.06	23.598	禁忌证(9.9), 缓解(9.4), 激动剂(8.5), 评价(8.1), 雾化(7.7)
448	和重	3	6	50.03	23.595	慢阻肺(12.0), 住院(8.8), 尤其是(7.9), 常见(7.5), 合并(7.2)
449	患者数	6	5	110.69	23.5788	近亿(35.5), 我国(24.3), 每年(23.4), 超过(16.6), 仪器(10.8)
450	的或者	3	6	49.84	23.5722	水平(9.6), 持续(9.1), 基础(9.0), 临床(8.7), 潜在(7.6)
451	哮喘的	4	6	49.75	23.5618	患者(13.7), LABALAMA(8.5), LABAICS(7.3), 合并(7.2), 疾病(6.6)
452	喘的	4	6	49.75	23.5618	患者(13.7), LABALAMA(8.5), LABAICS(7.3), 合并(7.2), 疾病(6.6)
453	及治	3	6	49.72	23.5578	酯酶(10.9), 监测(8.9), 临床(8.7), 表现(7.7), 反应(7.0)
454	及治疗	3	6	49.72	23.5578	酯酶(10.9), 监测(8.9), 临床(8.7), 表现(7.7), 反应(7.0)
455	在评	5	6	49.7	23.5556	抗菌治疗(12.2), 然而(8.6), 方面(7.9), 呼吸困难(7.6), 患者(6.8)
456	的修	6	6	49.67	23.5519	郑劲平(10.3), 论文(8.4), 指南(8.3), 每年(7.8), 定义(7.6)
457	的修订	6	6	49.67	23.5519	郑劲平(10.3), 论文(8.4), 指南(8.3), 每年(7.8), 定义(7.6)
458	对其	4	6	49.17	23.4923	强烈(10.8), 终点(9.2), 维持(8.8), 并发症(7.2), 疾病(6.6)
459	功能性	4	6	49.1	23.4842	变化(14.3), 损害(10.0), 小气道(7.9), 加重(6.5), 活动(6.5)
460	合并症和	4	6	49.0	23.4722	咳嗽(10.5), 控制(9.1), 风险(8.9), 心律失常(8.4), 并发症(7.2)
461	并症和	4	6	49.0	23.4722	咳嗽(10.5), 控制(9.1), 风险(8.9), 心律失常(8.4), 并发症(7.2)
462	在内	4	6	48.9	23.4599	环境(11.4), 广泛(10.7), 其他(8.5), 更新(7.7), 慢阻肺(6.0)
463	期肺	5	6	48.73	23.4391	监测(17.9), 关键(8.6), 患者(6.8), 发现(5.7), 肺功能(5.5)
464	结果的	4	6	48.45	23.4053	务人员(11.2), 提供(9.5), 分析(8.4), 提示(7.9), 测定(6.0)
465	的筛	4	6	48.37	23.3965	疾病(13.2), 诊断(8.2), 我国(8.1), 早期(7.6), 慢阻肺(6.0)
466	一年	4	6	47.75	23.3202	试验(10.0), 基础上(8.3), 依据(8.3), 至少(8.1), 急性加重(7.1)
467	与GOLD2024相比	3	6	47.6	23.3012	更新要点(9.3), 细胞计数(9.3), 然而(8.6), 急性加重(7.1), 管理(6.7)
468	GOLD2024相比	3	6	47.6	23.3012	更新要点(9.3), 细胞计数(9.3), 然而(8.6), 急性加重(7.1), 管理(6.7)
469	病指	4	6	47.57	23.2976	运动能力(8.9), 原则(8.8), 依据(8.3), 更新(7.7), 并发症(7.2)
470	的情况	5	6	47.42	23.2796	胆碱(10.6), 处理(8.3), 心血管(7.7), 医院(7.0), 合并症(7.0)
471	重患者	11	6	47.35	23.2707	避免(11.6), 方案(8.9), 门诊(7.9), 呼吸困难(7.6), 治疗(6.7)
472	要使	3	6	47.29	23.2636	间隔(9.1), 稳定(8.6), 动脉(8.2), 雾化(7.7), 要求(7.1)
473	的应	7	6	46.72	23.192	疾病(13.2), 落实(10.1), 加重(6.5), 中国(6.3), 肺功能检查(5.9)
474	在对	4	6	46.63	23.1811	慢阻肺病(9.8), 占预计值(9.7), 临床(8.7), 合并(7.2), 合并症(7.0)
475	对呼吸	5	6	46.57	23.1738	问卷(9.3), 人群(8.9), 结局(8.3), 严重(7.0), 疾病(6.6)
476	差的	4	6	46.46	23.1593	获益(10.5), 健康状况(9.8), 比值(7.4), 患者(6.8), 活动(6.5)
477	或慢	4	6	46.36	23.1462	既往(11.8), 问卷(9.3), 呼吸困难(7.6), 肺动脉高压(5.9), 肺气肿(5.9)
478	上的	5	6	46.35	23.1453	而言(9.3), 终点(9.2), 结果(7.6), 急性加重(7.1), 患者(6.8)
479	的变	6	6	46.22	23.1285	任何(10.6), 显示(8.8), 个体(7.0), 证明(6.9), 所致(6.8)
480	和成	4	6	46.06	23.1089	资源(10.6), 平滑肌(10.1), 药物(7.7), 患者(6.8), 增加(6.6)
481	可及	3	6	45.94	23.0932	筛查(9.1), 操作(8.8), 药物(7.7), 早期(7.6), 合并症(7.0)
482	查发	3	6	45.91	23.0899	问卷(9.3), 高危人群(8.6), 胸部(8.1), 可以通过(7.1), 呼吸(6.9)
483	和结	3	6	45.56	23.0448	认识(9.2), 严重程度(8.0), 小气道(7.9), 支气管(7.9), 改变(7.9)
484	规治	3	6	45.49	23.0351	康复(8.3), 基础上(8.3), 心血管(7.7), 功能(7.5), 细菌(7.1)
485	疗比	3	6	45.35	23.0171	三联(9.0), LAMALABALAMA(8.0), ICSLABA(7.7), 联合(7.1), 吸入装置(6.9)
486	对治	4	6	45.24	23.0029	浓度(8.1), 方面(7.9), 药物(7.7), 稳定期(7.7), 反应(7.0)
487	对治疗	4	6	45.24	23.0029	浓度(8.1), 方面(7.9), 药物(7.7), 稳定期(7.7), 反应(7.0)
488	估患者	5	6	45.2	22.9979	注意(9.1), 然而(8.6), 低氧血症(7.7), 患者(6.8), 吸入(6.5)
489	有改	3	6	44.93	22.9632	既往(11.8), 呼吸困难(7.6), 急性加重(7.1), 呼吸(6.9), 慢阻肺(6.0)
490	有改善	3	6	44.93	22.9632	既往(11.8), 呼吸困难(7.6), 急性加重(7.1), 呼吸(6.9), 慢阻肺(6.0)
491	病率的	3	6	44.89	22.9569	水平(9.6), 报道(8.6), 平均(7.8), 不良反应(7.7), 增加(6.6)
492	治疗氧	3	6	44.83	22.9502	基础(9.0), 戒烟(8.9), 手术(8.7), 调节(8.2), 通气(5.7)
493	和并	3	6	44.78	22.9429	风险(8.9), 动脉(8.2), 严重程度(8.0), 合并症(7.0), 治疗(6.7)
494	应评估	4	6	44.63	22.9237	戒烟(8.9), 方案(8.9), 抗菌(8.2), 患者(6.8), 治疗(6.7)
495	有临	5	6	43.9	22.8268	意义(8.9), 表现(7.7), 反应(7.0), 证明(6.9), 患者(6.8)
496	会加	3	6	43.84	22.819	空气污染(9.8), 表现(7.7), 温度(7.4), 急性加重(7.1), 合并症(7.0)
497	和无	3	6	43.68	22.797	衰竭(10.4), 药物(7.7), 气流受限(7.1), 机械通气(7.1), 治疗(6.7)
498	吸病学分会	14	6	43.55	22.7798	组织(9.8), 感染(9.1), 呼吸(6.9), 中国(6.3), 慢阻肺(6.0)
499	与急性	6	6	43.55	22.7798	风险(8.9), 住院(8.8), 扩张(8.8), 治疗(6.7), 慢阻肺病患者(5.5)
500	的生理	3	6	43.41	22.7607	代谢(11.2), 呼吸(6.9), 患者(6.8), 疾病(6.6), 指标(6.4)
